time(ms),memory(MB),concurrency
71.72322273254395,9.140625,1
104.19082641601562,14.19921875,2
591.0251140594482,18.6484375,2
2236.9556427001953,27.40625,3
1758.8908672332764,22.87890625,3
1692.6541328430176,14.5625,3
353.00421714782715,34.31640625,4
293.54333877563477,26.50390625,4
358.1395149230957,35.63671875,4
318.33434104919434,31.28125,4
392.34423637390137,34.234375,5
477.1859645843506,35.41796875,5
491.59932136535645,34.56640625,5
349.8108386993408,33.55078125,5
364.4134998321533,33.484375,5
416.8286323547363,34.6171875,6
537.0426177978516,36.1953125,6
458.71663093566895,29.4140625,6
618.156909942627,34.58203125,6
380.3591728210449,33.37890625,6
327.2421360015869,27.6796875,6
1189.9170875549316,50.62109375,7
1077.2969722747803,42.83984375,7
1145.1499462127686,50.3671875,7
1236.5870475769043,58.75,7
1145.2810764312744,52.44921875,7
1014.4457817077637,36.296875,7
1277.3594856262207,39.8671875,7
845.8230495452881,54.19921875,8
789.604663848877,60.3125,8
796.5409755706787,50.5,8
912.7223491668701,68.89453125,8
925.5945682525635,72.52734375,8
715.749979019165,57.1796875,8
601.0904312133789,35.37890625,8
564.8708343505859,29.5703125,8
895.7774639129639,56.0703125,9
889.3394470214844,55.6484375,9
958.1029415130615,64.4921875,9
853.4882068634033,51.7421875,9
809.051513671875,44.31640625,9
885.6809139251709,57.1640625,9
1042.9701805114746,60.98828125,9
848.4776020050049,49.82421875,9
710.9670639038086,36.27734375,9
1224.0707874298096,80.16015625,10
803.81178855896,37.57421875,10
1078.1934261322021,63.63671875,10
1143.0327892303467,71.05859375,10
1126.9443035125732,73.44140625,10
1114.5033836364746,80.24609375,10
1098.451852798462,75.1484375,10
1032.1214199066162,64.9609375,10
897.4673748016357,48.70703125,10
875.7264614105225,43.78515625,10
68.4812068939209,8.9609375,1
140.7625675201416,17.9921875,2
120.25642395019531,17.625,2
255.99265098571777,23.53125,3
220.85309028625488,23.19921875,3
262.18366622924805,27.2109375,3
420.9253787994385,32.5234375,4
347.8960990905762,28.41796875,4
415.3001308441162,30.40625,4
317.3327445983887,23.8984375,4
495.8503246307373,38.69140625,5
386.27052307128906,34.12109375,5
284.4433784484863,18.97265625,5
685.7645511627197,28.4609375,5
362.4916076660156,18.05078125,5
1586.2033367156982,49.1875,6
1662.2035503387451,51.06640625,6
1671.973466873169,49.2890625,6
1617.3467636108398,43.22265625,6
1514.7109031677246,34.5546875,6
1585.1359367370605,38.9765625,6
1405.6527614593506,61.82421875,7
1254.1143894195557,59.859375,7
1052.4733066558838,34.7578125,7
1006.5653324127197,31.90234375,7
1187.974214553833,49.94921875,7
1012.9303932189941,23.5078125,7
1098.1154441833496,35.6484375,7
653.5618305206299,53.53515625,8
733.7198257446289,57.7421875,8
818.253755569458,66.94921875,8
748.185396194458,65.81640625,8
761.7042064666748,61.25390625,8
630.6576728820801,53.859375,8
595.2796936035156,54.06640625,8
643.5141563415527,59.140625,8
2238.044261932373,55.61328125,9
2392.9812908172607,76.48828125,9
2205.577611923218,50.6640625,9
2302.7122020721436,62.59375,9
2321.4550018310547,70.71875,9
2195.427179336548,52.78515625,9
2170.8030700683594,52.31640625,9
2193.392038345337,54.5078125,9
2151.1049270629883,55.82421875,9
1113.7969493865967,91.171875,10
811.4724159240723,52.46875,10
1009.4070434570312,69.2890625,10
994.8306083679199,78.8203125,10
886.6598606109619,68.27734375,10
976.5465259552002,68.93359375,10
1014.2204761505127,72.6640625,10
1078.0131816864014,86.63671875,10
827.376127243042,58.1640625,10
837.4207019805908,61.01953125,10
72.87192344665527,9.078125,1
603.6498546600342,18.20703125,2
88.4244441986084,13.38671875,2
273.24819564819336,23.53125,3
259.798526763916,23.59375,3
240.02361297607422,22.77734375,3
1349.9505519866943,32.60546875,4
1336.5273475646973,31.71484375,4
1264.5816802978516,22.671875,4
1237.2221946716309,18.23828125,4
434.6492290496826,34.2890625,5
738.7521266937256,37.1015625,5
427.61754989624023,29.88671875,5
239.66550827026367,18.19140625,5
225.4471778869629,17.75,5
643.3577537536621,47.37890625,6
526.2935161590576,34.99609375,6
629.9424171447754,39.83203125,6
692.8489208221436,54.67578125,6
525.5143642425537,42.73828125,6
605.2429676055908,49.24609375,6
1246.0412979125977,60.20703125,7
1255.8941841125488,59.671875,7
1207.8306674957275,54.7890625,7
1496.5674877166748,48.04296875,7
1141.7346000671387,43.81640625,7
1249.1729259490967,55.8125,7
1075.0188827514648,28.640625,7
2763.3988857269287,53.4453125,8
2810.539484024048,64.80078125,8
3087.604284286499,72.93359375,8
3116.697311401367,72.64453125,8
2602.7822494506836,45.0703125,8
2690.438747406006,55.71484375,8
2720.2887535095215,56.38671875,8
2629.552125930786,52.125,8
4970.448970794678,66.82421875,9
4983.415603637695,69.33984375,9
4930.429697036743,59.82421875,9
4683.548212051392,40.65625,9
4762.522220611572,34.34375,9
4894.548654556274,50.1875,9
4860.461711883545,46.55859375,9
4845.985174179077,49.84765625,9
4771.523952484131,37.5546875,9
1145.1334953308105,72.84375,10
889.3735408782959,43.015625,10
1264.3935680389404,88.8671875,10
1163.4232997894287,88.421875,10
1131.596326828003,72.6015625,10
1184.9555969238281,84.375,10
1064.2716884613037,72.05859375,10
931.0932159423828,61.98828125,10
975.8026599884033,61.51953125,10
885.711669921875,45.734375,10
72.07632064819336,9.078125,1
145.13230323791504,18.140625,2
125.73504447937012,18.0,2
229.3543815612793,23.78125,3
185.55235862731934,19.20703125,3
261.1429691314697,27.48828125,3
355.5433750152588,36.12109375,4
358.54053497314453,36.54296875,4
323.31395149230957,31.625,4
240.07344245910645,26.73828125,4
484.7695827484131,35.5546875,5
580.8408260345459,31.07421875,5
602.9877662658691,29.26953125,5
447.7884769439697,35.890625,5
468.48607063293457,35.96875,5
748.9192485809326,54.30078125,6
771.9311714172363,54.875,6
594.0208435058594,34.23046875,6
633.8691711425781,38.08203125,6
599.7846126556396,36.30078125,6
546.8840599060059,28.546875,6
647.4835872650146,47.7734375,7
674.1757392883301,55.87890625,7
683.0132007598877,59.359375,7
646.151065826416,51.84765625,7
671.8885898590088,51.84765625,7
743.2596683502197,63.99609375,7
324.9659538269043,23.8984375,7
594.3572521209717,50.609375,8
505.5263042449951,45.7578125,8
727.1275520324707,65.21484375,8
671.1997985839844,53.37890625,8
524.3926048278809,38.703125,8
659.503698348999,57.359375,8
637.0930671691895,58.59765625,8
639.2250061035156,50.9765625,8
3238.8436794281006,81.4296875,9
2973.115921020508,74.01953125,9
2862.715482711792,61.17578125,9
2862.8573417663574,58.25390625,9
2949.384927749634,74.203125,9
2783.735513687134,49.40625,9
3021.17919921875,55.546875,9
2683.0594539642334,40.6328125,9
2641.146421432495,28.53515625,9
987.6043796539307,83.1875,10
856.9393157958984,68.4140625,10
1063.76314163208,84.41796875,10
1055.1729202270508,83.8046875,10
962.0490074157715,82.84375,10
948.5383033752441,77.7578125,10
921.9856262207031,73.5,10
937.2546672821045,78.87109375,10
814.0578269958496,61.91015625,10
861.3944053649902,69.48828125,10
69.60868835449219,9.08203125,1
598.3772277832031,18.765625,2
110.69130897521973,14.3046875,2
270.74146270751953,27.4921875,3
240.1587963104248,22.66796875,3
184.62443351745605,18.01171875,3
367.2628402709961,32.25,4
384.6297264099121,36.73828125,4
241.93096160888672,17.76171875,4
316.7085647583008,27.87890625,4
518.4080600738525,41.59765625,5
474.0772247314453,41.44140625,5
512.0847225189209,41.828125,5
640.7566070556641,30.41015625,5
420.4285144805908,26.49609375,5
671.1344718933105,43.55078125,6
673.9175319671631,51.08203125,6
668.6267852783203,43.7265625,6
647.6199626922607,43.56640625,6
763.7872695922852,54.734375,6
540.7750606536865,35.25,6
1200.0946998596191,52.20703125,7
1175.0309467315674,52.22265625,7
1267.1163082122803,63.96484375,7
984.318733215332,30.58203125,7
1099.1497039794922,46.28515625,7
1027.8434753417969,33.234375,7
1144.8471546173096,49.81640625,7
1392.207145690918,61.33984375,8
1382.9600811004639,56.75,8
1398.3173370361328,55.6640625,8
1898.221731185913,62.94140625,8
1388.002634048462,55.6640625,8
1370.349645614624,55.453125,8
1255.011796951294,38.40625,8
1303.576946258545,42.2890625,8
1028.902292251587,71.0234375,9
1009.6766948699951,70.18359375,9
1054.739236831665,73.83984375,9
965.925931930542,65.62109375,9
964.5588397979736,65.0625,9
1204.6637535095215,66.76953125,9
811.699390411377,43.78515625,9
892.2324180603027,60.015625,9
768.3753967285156,44.04296875,9
1037.8034114837646,69.08203125,10
1236.5443706512451,37.453125,10
1021.2550163269043,64.8984375,10
2229.8548221588135,91.29296875,10
1603.6403179168701,76.671875,10
1458.2507610321045,55.578125,10
799.8356819152832,38.93359375,10
1437.2904300689697,54.8125,10
1468.578815460205,60.33984375,10
822.8943347930908,43.4765625,10
