container_name,exec_time(ms)
trusting_austin,1930.9072494506836
zen_beaver,1940.6445026397705
angry_jennings,1956.0701847076416
vibrant_joliot,1968.5509204864502
quizzical_cray,1972.994089126587
nostalgic_grothendieck,1960.4816436767578
vigilant_meninsky,1996.1950778961182
affectionate_moser,2053.990125656128
lucid_bartik,2050.614356994629
friendly_khayyam,2048.3691692352295
sad_buck,2042.2236919403076
lucid_volhard,2048.1786727905273
distracted_perlman,2054.025650024414
naughty_williamson,2057.6775074005127
dreamy_engelbart,2099.4536876678467
nervous_mclaren,2108.617067337036
zen_lalande,2118.659257888794
blissful_maxwell,2143.7981128692627
quirky_wilbur,2176.5661239624023
eloquent_kilby,2198.8565921783447
